title,author,description,rating,url
Atomic Habits,James Clear,Self improvement habits book,4.8,https://example.com
Rich Dad Poor Dad,Robert Kiyosaki,Finance and money mindset,4.5,https://example.com
The Alchemist,Paulo Coelho,Philosophical novel,4.2,https://example.com
Harry Potter,J.K Rowling,Wizard adventure story,4.9,https://example.com
The Hobbit,J.R.R Tolkien,Fantasy adventure with dragons,4.8,https://example.com
1984,George Orwell,Dystopian society novel,4.7,https://example.com
To Kill a Mockingbird,Harper Lee,Classic social justice novel,4.6,https://example.com
The Great Gatsby,F Scott Fitzgerald,American classic novel,4.4,https://example.com
Think and Grow Rich,Napoleon Hill,Success mindset book,4.5,https://example.com
Deep Work,Cal Newport,Focus and productivity book,4.6,https://example.com
The Power of Now,Eckhart Tolle,Spiritual enlightenment guide,4.3,https://example.com
Sapiens,Yuval Noah Harari,History of humankind,4.7,https://example.com
Homo Deus,Yuval Noah Harari,Future of humanity,4.6,https://example.com
Ikigai,Hector Garcia,Japanese philosophy of life,4.5,https://example.com
The Subtle Art of Not Giving a F,Mark Manson,Self help with bold approach,4.4,https://example.com
Start With Why,Simon Sinek,Leadership and purpose book,4.5,https://example.com
Zero to One,Peter Thiel,Startup thinking book,4.4,https://example.com
The Lean Startup,Eric Ries,Startup methodology,4.5,https://example.com
Rework,Jason Fried,Business and productivity book,4.3,https://example.com
Crushing It,Gary Vaynerchuk,Personal branding guide,4.4,https://example.com
The Psychology of Money,Morgan Housel,Financial behavior insights,4.8,https://example.com
Can't Hurt Me,David Goggins,Mental toughness story,4.9,https://example.com
Eat That Frog,Brian Tracy,Time management guide,4.5,https://example.com
The 4 Hour Work Week,Timothy Ferriss,Lifestyle design book,4.4,https://example.com
The ONE Thing,Gary Keller,Focus and success book,4.5,https://example.com
Make Your Bed,William McRaven,Life lessons from navy seal,4.4,https://example.com
The Magic of Thinking Big,David Schwartz,Success mindset book,4.3,https://example.com
How to Win Friends and Influence People,Dale Carnegie,Communication skills,4.8,https://example.com
Awaken the Giant Within,Tony Robbins,Personal development guide,4.6,https://example.com
The 7 Habits of Highly Effective People,Stephen Covey,Personal effectiveness book,4.9,https://example.com
Meditations,Marcus Aurelius,Stoic philosophy,4.7,https://example.com
The Art of War,Sun Tzu,Ancient military strategy,4.6,https://example.com
Man’s Search for Meaning,Viktor Frankl,Meaning of life,4.9,https://example.com
The Book Thief,Markus Zusak,Historical fiction novel,4.6,https://example.com
Percy Jackson,Rick Riordan,Greek mythology adventure,4.7,https://example.com
Game of Thrones,George RR Martin,Political fantasy novel,4.8,https://example.com
The Silent Patient,Alex Michaelides,Psychological thriller,4.5,https://example.com
Gone Girl,Gillian Flynn,Thriller mystery novel,4.4,https://example.com
The Girl on the Train,Paula Hawkins,Crime thriller book,4.3,https://example.com
The Da Vinci Code,Dan Brown,Mystery thriller novel,4.6,https://example.com
Angels and Demons,Dan Brown,Science and religion thriller,4.5,https://example.com
Inferno,Dan Brown,Action thriller novel,4.4,https://example.com
Digital Fortress,Dan Brown,Tech thriller story,4.3,https://example.com
Deception Point,Dan Brown,Political thriller book,4.2,https://example.com
The Martian,Andy Weir,Science fiction survival story,4.7,https://example.com
Dune,Frank Herbert,Classic sci fi novel,4.8,https://example.com
Foundation,Isaac Asimov,Sci fi empire story,4.6,https://example.com
Neuromancer,William Gibson,Cyberpunk novel,4.5,https://example.com
Snow Crash,Neal Stephenson,Cyberpunk thriller,4.4,https://example.com
Ready Player One,Ernest Cline,Virtual reality adventure,4.6,https://example.com
The Hunger Games,Suzanne Collins,Dystopian survival story,4.7,https://example.com
Catching Fire,Suzanne Collins,Sequel dystopian novel,4.6,https://example.com
Mockingjay,Suzanne Collins,Final dystopian novel,4.5,https://example.com
The Fault in Our Stars,John Green,Romantic drama novel,4.6,https://example.com
Looking for Alaska,John Green,Teen drama novel,4.4,https://example.com
Paper Towns,John Green,Mystery teen novel,4.3,https://example.com
It,Stephen King,Horror novel,4.7,https://example.com
The Shining,Stephen King,Horror psychological novel,4.8,https://example.com
Doctor Sleep,Stephen King,Sequel horror novel,4.5,https://example.com
Carrie,Stephen King,Horror classic,4.4,https://example.com
Pet Sematary,Stephen King,Horror thriller novel,4.6,https://example.com
Misery,Stephen King,Thriller novel,4.7,https://example.com
The Stand,Stephen King,Post apocalyptic novel,4.8,https://example.com
The Road,Cormac McCarthy,Post apocalyptic story,4.5,https://example.com
No Country for Old Men,Cormac McCarthy,Crime thriller,4.4,https://example.com
Blood Meridian,Cormac McCarthy,Western novel,4.3,https://example.com
The Kite Runner,Khaled Hosseini,Emotional drama novel,4.7,https://example.com
A Thousand Splendid Suns,Khaled Hosseini,Historical fiction,4.8,https://example.com
And the Mountains Echoed,Khaled Hosseini,Family drama novel,4.5,https://example.com
The Help,Kathryn Stockett,Historical drama novel,4.6,https://example.com
Life of Pi,Yann Martel,Adventure and philosophy,4.5,https://example.com
The Catcher in the Rye,JD Salinger,Classic coming of age novel,4.3,https://example.com
Lord of the Flies,William Golding,Survival novel,4.4,https://example.com
Animal Farm,George Orwell,Political satire,4.7,https://example.com
Brave New World,Aldous Huxley,Dystopian novel,4.6,https://example.com
Fahrenheit 451,Ray Bradbury,Dystopian book burning story,4.5,https://example.com
The Giver,Lois Lowry,Dystopian youth novel,4.4,https://example.com
Ender's Game,Orson Scott Card,Sci fi war strategy,4.6,https://example.com
The Maze Runner,James Dashner,Dystopian survival novel,4.5,https://example.com
Divergent,Veronica Roth,Dystopian action novel,4.4,https://example.com
Insurgent,Veronica Roth,Sequel dystopian novel,4.3,https://example.com
Allegiant,Veronica Roth,Final dystopian novel,4.2,https://example.com
Twilight,Stephenie Meyer,Romantic vampire novel,4.2,https://example.com
New Moon,Stephenie Meyer,Sequel romance novel,4.1,https://example.com
Eclipse,Stephenie Meyer,Third romance novel,4.0,https://example.com
Breaking Dawn,Stephenie Meyer,Final romance novel,4.1,https://example.com
The Notebook,Nicholas Sparks,Romantic drama novel,4.5,https://example.com
Dear John,Nicholas Sparks,Love story novel,4.3,https://example.com
Safe Haven,Nicholas Sparks,Romantic thriller novel,4.4,https://example.com
The Last Song,Nicholas Sparks,Drama romance novel,4.3,https://example.com
Message in a Bottle,Nicholas Sparks,Romantic novel,4.2,https://example.com
The Time Traveler's Wife,Audrey Niffenegger,Time travel romance,4.4,https://example.com
Outliers,Malcolm Gladwell,Success analysis book,4.6,https://example.com
Blink,Malcolm Gladwell,Thinking psychology book,4.5,https://example.com
David and Goliath,Malcolm Gladwell,Underdog success stories,4.4,https://example.com
Talking to Strangers,Malcolm Gladwell,Social psychology book,4.3,https://example.com
